cod_adm,type_abb,name,denom_abb,denom_ext,denom_emp,name_abb,global_id,year_ctr,annofine,st_length
1160,STR,STRADA,CIMITERO TREBBIANTICO,CIMITERO TREBBIANTICO,CIMITERO TREBBIANTICO,STR CIMITERO TREBBIANTICO,{B9AA9001-9F02-4393-9843-73C83AFD3BE1},,,467.56089113400
1165,PLE,PIAZZALE,C. CINELLI,CARLO CINELLI,CINELLI,PLE C. CINELLI,{4840BB0B-EB8F-41F3-80FE-C4FACB252CCD},,,60.30501867710
1167,VIA,VIA,DEL CINEMA,DEL CINEMA,CINEMA,VIA DEL CINEMA,{F2C997E2-D7ED-4736-BCF7-0C57BC697FD0},,,747.30017481000
1265,STR,STRADA,DEL CONVENTO,DEL CONVENTO,CONVENTO,STR DEL CONVENTO,{768B6A10-A613-4C89-AA5F-A2EA4F600CAD},,,61.58289168180
1170,STR,STRADA,DEI CIPRESSI,DEI CIPRESSI,CIPRESSI,STR DEI CIPRESSI,{9F9541C1-CE22-405A-8ABB-EAE9FD655018},,,502.99357998100
1175,VIA,VIA,CISMON,CISMON,CISMON,VIA CISMON,{1FAD5948-F256-4E81-B135-B76A70D86660},,,52.50013363370
1065,STR,STRADA,CERRETO,CERRETO,CERRETO,STR CERRETO,{ADFE3A08-15F2-47C5-BC48-93A238FE78EB},,,5784.83449394000
1070,VIA,VIA,F.LLI CERVI,F.LLI CERVI,CERVI,VIA F.LLI CERVI,{D93EFD2C-8DA8-4AF3-A135-51607E2797FD},,,403.69097382100
1075,VIA,VIA,CERVIA,CERVIA,CERVIA,VIA CERVIA,{73509584-EA9C-4F74-A363-C6E5C09E4ABF},,,114.22052545500
1080,VIA,VIA,CESANO,CESANO,CESANO,VIA CESANO,{F97FAC52-F42C-4642-BBB0-5F7A292AA534},,,59.92208712250
1085,VIA,VIA,F. CESARINI,FRANCESCO CESARINI,CESARINI,VIA F. CESARINI,{50AEC813-CB61-4FE4-BDF2-07C462ACA2E8},,,252.42251924600
1090,VIA,VIA,CESENA,CESENA,CESENA,VIA CESENA,{D7F2BEB3-45BE-400C-A4A4-5C02E169A89A},,,349.55387061300
1095,VIA,VIA,L. CHERUBINI,LUIGI CHERUBINI,CHERUBINI,VIA L. CHERUBINI,{1DF6970A-977E-4584-B692-7EBBACD79C67},,,186.49740106900
1100,VIA,VIA,CHIARAMONTI,CHIARAMONTI,CHIARAMONTI,VIA CHIARAMONTI,{B55BEFBA-EFDD-4614-8D8D-065EC9F770E3},,,94.96415287380
1105,VIA,VIA,CHIENTI,CHIENTI,CHIENTI,VIA CHIENTI,{0F1F8A88-3958-4E59-ACD3-7249430F8F98},,,425.15614019600
1110,VIA,VIA,D. CHIESA,DAMIANO CHIESA,CHIESA,VIA D. CHIESA,{8F13E705-D383-4EDE-9D42-14F36437E058},,,191.66361966500
1115,VIA,VIA,CHIOGGIA,CHIOGGIA,CHIOGGIA,VIA CHIOGGIA,{E193F3B3-FEE9-4555-A5B3-AF9E30983A2F},,,100.36243406100
1118,VIA,VIA,G. CHITI,GIOVANNI CHITI,CHITI,VIA G. CHITI,{7707A704-2CFE-4EAD-B0A2-C9259C55B4A2},,,90.40913732150
1122,ESEDRA,ESEDRA,CIACCHI,CIACCHI,CIACCHI,ESEDRA CIACCHI,{4EEBF4C2-D934-4078-A4BB-948BACCF73B7},,,15.17663148340
0,,,,,,,{AA487D72-E247-4DA4-BA3D-E7D4CAE1E1A1},"2005",,242.86698842000
1180,VIA,VIA,M. CLEMENTI,MUZIO CLEMENTI,CLEMENTI,VIA M. CLEMENTI,{CB148E86-8CDE-4B23-BA90-A41067DDD05E},,,52.87286890870
1185,VIA,VIA,CLITUNNO,CLITUNNO,CLITUNNO,VIA CLITUNNO,{BEE50419-96DE-43EF-9A0D-87E15093EE27},,,309.35304953300
1190,VIA,VIA,COL DI LANA,COL DI LANA,COL DI LANA,VIA COL DI LANA,{B9731200-404B-466A-9AB6-6C1621E9A2A1},,,103.55766016800
1195,VIA,VIA,P. COLLENUCCIO,PANDOLFO COLLENUCCIO,COLLENUCCIO,VIA P. COLLENUCCIO,{6444CF77-67E9-4488-99D1-7B811AD69CF4},,,122.86070959000
1200,VIA,VIA,P. COLLETTA,PIETRO COLLETTA,COLLETTA,VIA P. COLLETTA,{593913A9-5CC7-4B2F-B3C5-B830C89F8D43},,,99.79348283480
