objectid,gistat_sez,perimeter,cod_istat,pro_com,sez2001,sez,cod_tipo,cod_stagno,cod_fiume,cod_lago,cod_laguna,cod_val_p,cod_zona_c,cod_is_amm,cod_is_lac,cod_is_mar,cod_area_s,cod_mont_d,loc,loc2001,tipo_loc,sez2011,tipo_loc_n,loc2011,cod_tipo_s,cod_asc,shape_leng,st_area_sh,st_length_
7683,0.00000000,364.36690759,11041044,41044,410440000735.00000000,735,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000735.00000000,1,4104410008.00000000,0,"6",364.58210083,6785.88747625000,364.28390659600
7684,0.00000000,1690.24313049,11041044,41044,410440000455.00000000,455,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000455.00000000,1,4104410008.00000000,0,"9",1280.54237928,79050.92364240000,1279.41527447000
7685,0.00000000,1053.72368779,11041044,41044,410440000458.00000000,458,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000458.00000000,1,4104410008.00000000,0,"9",1031.32071749,29851.32923750000,1030.40670830000
7686,0.00000000,346.08077386,11041044,41044,410440000744.00000000,744,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000744.00000000,1,4104410008.00000000,0,"6",346.50099294,6679.19763995000,346.21879819400
7687,0.00000000,368.14298043,11041044,41044,410440000606.00000000,606,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000606.00000000,1,4104410008.00000000,0,"3",368.64074371,8238.51876082000,368.32830392900
7688,0.00000000,1034.25444583,11041044,41044,410440000979.00006104,979,0,0,0,0,0,0,0,0,0,0,0,0,30003,4104430003.00000000,3,410440000979.00006104,3,4104430003.00000000,12,"10",1869.59003237,91993.86463320001,1868.15544651000
7689,0.00000000,332.46388593,11041044,41044,410440000747.00000000,747,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000747.00000000,1,4104410008.00000000,0,"6",332.79893462,5911.36639451000,332.52736191900
7690,0.00000000,981.84650925,11041044,41044,410440000457.00000000,457,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000457.00000000,1,4104410008.00000000,0,"9",982.84284827,41084.07879090000,981.97331711700
7691,0.00000000,1590.91216988,11041044,41044,410440000939.00000000,939,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000939.00000000,1,4104410008.00000000,0,"6",1675.27265467,77566.85137850000,1673.89442813000
7692,0.00000000,354.44448481,11041044,41044,410440000734.00000000,734,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000734.00000000,1,4104410008.00000000,0,"6",354.63649453,6598.78363158000,354.34635027400
7693,0.00000000,587.28395873,11041044,41044,410440000732.00000000,732,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000732.00000000,1,4104410008.00000000,0,"6",589.10148296,17237.67884060000,588.61870676200
7694,0.00000000,1178.86821006,11041044,41044,410440000607.00000000,607,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000607.00000000,1,4104410008.00000000,0,"3",1178.01299113,61828.87371270000,1177.01309421000
7695,0.00000000,332.95495381,11041044,41044,410440000746.00000000,746,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000746.00000000,1,4104410008.00000000,0,"6",333.03940848,5979.48931121000,332.76781775900
7696,0.00000000,333.92900306,11041044,41044,410440000748.99993896,749,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000748.99993896,1,4104410008.00000000,0,"6",334.16149592,5997.87897321000,333.88867767900
7697,0.00000000,415.37391005,11041044,41044,410440000605.00000000,605,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000605.00000000,1,4104410008.00000000,0,"3",539.97291727,11884.80248220000,539.51602838700
7699,0.00000000,186.49874063,11041044,41044,410440000755.00006104,755,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000755.00006104,1,4104410008.00000000,0,"6",186.75772810,2157.70026371000,186.60562669100
7700,0.00000000,756.62394289,11041044,41044,410440000456.00000000,456,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000456.00000000,1,4104410008.00000000,0,"9",1194.63687571,66457.91452500000,1193.58204556000
7701,0.00000000,333.62148721,11041044,41044,410440000747.99993896,748,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000747.99993896,1,4104410008.00000000,0,"6",333.78973357,5973.12593370000,333.51762194500
7702,0.00000000,355.97095032,11041044,41044,410440000609.00000000,609,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000609.00000000,1,4104410008.00000000,0,"3",356.40580570,7713.31899951000,356.10388210200
7703,0.00000000,296.83596061,11041044,41044,410440000750.99993896,751,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000750.99993896,1,4104410008.00000000,0,"6",296.94971228,5485.06794647000,296.70718634500
7704,0.00000000,13356.88909150,11041044,41044,410440001011.00006104,1146,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104440001.00000000,4,410440001146.00000000,4,4104440001.00000000,0,"6",4555.91336046,651797.26345299999,4552.29995887000
7705,0.00000000,244.07201674,11041044,41044,410440000608.00000000,608,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000608.00000000,1,4104410008.00000000,0,"3",244.18408151,3342.97886672000,243.97698899700
7706,0.00000000,189.08132462,11041044,41044,410440000754.00006104,754,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000754.00006104,1,4104410008.00000000,0,"6",189.37464670,2219.13244014000,189.22048347300
7707,0.00000000,186.60272587,11041044,41044,410440000939.99993896,940,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000939.99993896,1,4104410008.00000000,0,"6",186.97004905,2137.13014860000,186.81736176600
7708,0.00000000,379.58385770,11041044,41044,410440000749.99993896,750,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000749.99993896,1,4104410008.00000000,0,"6",379.69315386,8581.29632665000,379.38349413800
7709,0.00000000,1818.09939116,11041044,41044,410440000753.00006104,753,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000753.00006104,1,4104410008.00000000,0,"6",2338.37086531,115994.61310700000,2336.46145721000
7710,0.00000000,542.05940172,11041044,41044,410440000941.99993896,942,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000941.99993896,1,4104410008.00000000,0,"6",542.67935081,14380.84900340000,542.23775192400
7711,0.00000000,489.05952202,11041044,41044,410440000459.00000000,459,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000459.00000000,1,4104410008.00000000,0,"9",489.57405355,13026.92827640000,489.14038591400
7712,0.00000000,787.47108942,11041044,41044,410440000610.00000000,610,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000610.00000000,1,4104410008.00000000,0,"3",859.70176699,29937.43165730000,858.97434265000
7725,0.00000000,1623.52152338,11041044,41044,410440000843.00000000,843,0,0,0,0,0,0,0,0,0,0,0,0,10001,4104410001.00000000,1,410440000843.00000000,1,4104410001.00000000,0,"10",1625.08182558,61256.12157760000,1623.86082550000
7615,0.00000000,990.65009025,11041044,41044,410440000661.00000000,661,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000661.00000000,1,4104410008.00000000,12,"5",991.49529564,53888.17507310000,990.67748773100
7726,0.00000000,1358.41585702,11041044,41044,410440000986.00000000,986,0,0,0,0,0,0,0,0,0,0,0,0,10018,4104410018.00000000,1,410440000986.00000000,1,4104410018.00000000,0,"8",1353.73548158,78406.22726570000,1352.74813068000
7618,0.00000000,524.74091111,11041044,41044,410440000951.00000000,951,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000951.00000000,1,4104410008.00000000,12,"7",524.92510449,17667.57266930000,524.50280701100
7713,0.00000000,12328.26770810,11041044,41044,410440001010.00006104,1109,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104440001.00000000,4,410440001109.00000000,4,4104440001.00000000,0,"3",9587.34868040,2414378.42965999991,9579.22954485000
7714,0.00000000,4203.79875018,11041044,41044,410440000852.00006104,1150,0,0,0,0,0,0,0,0,0,0,0,0,10016,4104410016.00000000,1,410440001150.00000000,1,4104410016.00000000,0,"6",2783.68004176,95297.83088510000,2781.50756741000
7715,0.00000000,1129.50373811,11041044,41044,410440000459.99993896,460,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000459.99993896,1,4104410008.00000000,0,"9",1097.54556660,38034.50143890000,1096.57479515000
7716,0.00000000,3131.71560840,11041044,41044,410440000664.00000000,1122,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440001122.00000000,1,4104410008.00000000,12,"5",1520.72405852,71258.30152360002,1519.47276874000
7717,0.00000000,1003.83493641,11041044,41044,410440000842.00000000,842,0,0,0,0,0,0,0,0,0,0,0,0,10001,4104410001.00000000,1,410440000842.00000000,1,4104410001.00000000,0,"10",1004.61026830,50691.83283990000,1003.85403052000
7718,0.00000000,1223.26706692,11041044,41044,410440000896.00000000,1155,0,0,0,0,0,0,0,0,0,0,0,0,10001,4104410001.00000000,1,410440001155.00000000,1,4104410001.00000000,0,"10",1127.71818495,44873.07505970000,1126.86527463000
7719,0.00000000,1123.76721883,11041044,41044,410440000895.00000000,895,0,0,0,0,0,0,0,0,0,0,0,0,10001,4104410001.00000000,1,410440000895.00000000,1,4104410001.00000000,0,"10",1137.34111799,60037.96203600000,1136.47907412000
7720,0.00000000,1839.50160392,11041044,41044,410440000897.00000000,1154,0,0,0,0,0,0,0,0,0,0,0,0,10001,4104410001.00000000,1,410440001154.00000000,1,4104410001.00000000,0,"10",1082.31342462,47378.25177240000,1081.49951900000
7721,0.00000000,2125.80461129,11041044,41044,410440000975.99993896,976,0,0,0,0,0,0,0,0,0,0,0,0,20009,4104420009.00000000,2,410440000975.99993896,2,4104420009.00000000,0,"4",2127.84405007,224236.53728900000,2125.94382557000
7722,0.00000000,1293.74060529,11041044,41044,410440000940.99993896,941,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000940.99993896,1,4104410008.00000000,0,"6",1683.74587547,40991.38641410000,1682.38255327000
7723,0.00000000,2205.99913919,11041044,41044,410440000863.00000000,863,0,0,0,0,0,0,0,0,0,0,0,0,10010,4104410010.00000000,1,410440000863.00000000,1,4104410010.00000000,0,"3",2207.41110531,65216.64047260000,2205.55555009000
7724,0.00000000,743.59492906,11041044,41044,410440000841.00000000,841,0,0,0,0,0,0,0,0,0,0,0,0,10001,4104410001.00000000,1,410440000841.00000000,1,4104410001.00000000,0,"10",742.34186258,27871.85987450000,741.78077349000
9173,0.00000000,308.69514114,11041044,41044,410440000021.00000000,21,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000021.00000000,1,4104410008.00000000,0,"2",309.21374664,5906.32007793000,308.94923585000
7728,0.00000000,889.67196657,11041044,41044,410440000826.00000000,826,0,0,0,0,0,0,0,0,0,0,0,0,10018,4104420014.00000000,2,410440000826.00000000,1,4104410018.00000000,0,"8",938.67033165,34983.11652960001,937.98225290900
7729,0.00000000,10856.78738460,11041044,41044,410440000996.00000000,1177,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104440001.00000000,4,410440001177.00000000,4,4104440001.00000000,0,"4",7390.28805440,1915288.33639000007,7384.24322794000
7730,0.00000000,12072.09539430,11041044,41044,410440001001.00000000,1001,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104440001.00000000,4,410440001001.00000000,4,4104440001.00000000,0,"4",12230.19574500,4412869.48409000039,12220.60147790000
7731,0.00000000,30049.87825150,11041044,41044,410440000997.00000000,1102,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104440001.00000000,4,410440001101.99993896,4,4104440001.00000000,0,"8",2930.61491775,177033.06900799999,2928.15343934000
7739,0.00000000,1350.73617519,11041044,41044,410440000778.00000000,1131,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440001131.00000000,1,4104410008.00000000,0,"7",439.42938790,11025.18787860000,439.06869052800
7740,0.00000000,11329.75203950,11041044,41044,410440000992.00000000,1149,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104440001.00000000,4,410440001149.00000000,4,4104440001.00000000,0,"6",1816.76558197,172008.99148500001,1815.38302475000
7616,0.00000000,1082.71992552,11041044,41044,410440000903.00000000,903,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000903.00000000,1,4104410008.00000000,0,"1",1083.43824646,37500.19737600000,1082.51014294000
7732,0.00000000,30049.87825150,11041044,41044,410440000997.00000000,1103,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104440001.00000000,4,410440001102.99993896,4,4104440001.00000000,0,"8",6771.32216563,1063753.47017999995,6766.27899698000
7733,0.00000000,30049.87825150,11041044,41044,410440000997.00000000,1104,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104440001.00000000,4,410440001103.99993896,4,4104440001.00000000,0,"8",4870.96292473,612947.20580300002,4867.23626144000
7734,0.00000000,30049.87825150,11041044,41044,410440000997.00000000,1105,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104440001.00000000,4,410440001105.00006104,4,4104440001.00000000,0,"8",6222.00543002,812358.90422799997,6216.92582668000
7735,0.00000000,10683.42756790,11041044,41044,410440001013.00000000,1113,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104440001.00000000,4,410440001113.00000000,4,4104440001.00000000,0,"4",6500.04463401,932788.29820900003,6494.72543928000
7736,0.00000000,12328.26770810,11041044,41044,410440001010.00006104,1110,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104440001.00000000,4,410440001110.00000000,4,4104440001.00000000,0,"3",1139.52946159,52975.22702550000,1138.57357288000
7737,0.00000000,18086.43148590,11041044,41044,410440001004.99993896,1107,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104440001.00000000,4,410440001107.00006104,4,4104440001.00000000,0,"10",5590.23002023,1257991.63809000002,5585.91465386000
7738,0.00000000,18086.43148590,11041044,41044,410440001004.99993896,1108,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104440001.00000000,4,410440001108.00006104,4,4104440001.00000000,0,"7",5651.91218246,866504.13814499998,5647.37334257000
9174,0.00000000,327.15332479,11041044,41044,410440000015.99993896,16,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000015.99993896,1,4104410008.00000000,0,"2",327.46676757,6586.98640124000,327.18714731900
7741,0.00000000,11329.75203950,11041044,41044,410440000992.00000000,1148,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104440001.00000000,4,410440001148.00000000,4,4104440001.00000000,0,"6",5218.90543103,897296.68730899994,5214.88709143000
7742,0.00000000,2665.20957502,11041044,41044,410440000851.00006104,1152,0,0,0,0,0,0,0,0,0,0,0,0,10016,4104410016.00000000,1,410440001152.00000000,1,4104410016.00000000,0,"6",1532.28010327,56917.89268790000,1531.07016358000
7743,0.00000000,4203.79875018,11041044,41044,410440000852.00006104,1151,0,0,0,0,0,0,0,0,0,0,0,0,10016,4104410016.00000000,1,410440001151.00000000,1,4104410016.00000000,0,"6",3172.57271606,174463.89554800000,3170.09231935000
8048,0.00000000,366.79348181,11041044,41044,410440000278.00000000,278,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000278.00000000,1,4104410008.00000000,0,"2",366.93788435,7777.69489969000,366.63042136300
8049,0.00000000,389.22645146,11041044,41044,410440000904.00000000,904,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000904.00000000,1,4104410008.00000000,0,"2",389.72524080,5439.08087120000,389.39824956300
8050,0.00000000,320.36910192,11041044,41044,410440000274.00006104,274,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000274.00006104,1,4104410008.00000000,0,"2",320.58790965,6005.19769833000,320.31652796600
8051,0.00000000,381.29642336,11041044,41044,410440000781.99993896,782,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000781.99993896,1,4104410008.00000000,0,"7",381.63423945,8126.41446888000,381.32229565300
8052,0.00000000,344.17315262,11041044,41044,410440000055.00000000,55,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000055.00000000,1,4104410008.00000000,0,"1",344.55396750,7345.74749294000,344.25742238200
