vn06,codice_v,st_area_sh,st_length_,st_area__1,st_length1
AEV33,AEV33,537.22634568,144.41222423,537.22634569000,144.41222422600
AEV108,AEV108,1041.65700264,129.62510934,1041.65700266000,129.62510933600
AEV99,AEV99,7033.11155474,354.44466781,7033.11155474000,354.44466781300
AEV91,AEV91,808.42282835,115.23334643,808.42282836500,115.23334643700
AEV1D,AEV1D,1426.87350002,154.03476806,1426.87350000000,154.03476805900
AEV100,AEV100,1481.34262797,171.17944741,1481.34262796000,171.17944741000
AEV109,AEV109,972.83670001,125.30824595,972.83670000000,125.30824594700
AEV121,AEV121,826.30690001,115.44602040,826.30690000000,115.44602039900
AEV110,AEV110,1186.08495611,148.41150431,1186.08495611000,148.41150430700
AEV111,AEV111,626.09371966,108.46242976,626.09371964500,108.46242975600
AEV112,AEV112,1036.84438588,129.24879710,1036.84438590000,129.24879710100
AEV115,AEV115,83.93841051,41.21841828,83.93841050500,41.21841828190
AEV116,AEV116,1035.48902125,130.10061836,1035.48902125000,130.10061836200
AEV117,AEV117,829.12526264,124.98053252,829.12526266000,124.98053252300
AEV118,AEV118,1465.71302539,184.75331440,1465.71302543000,184.75331440000
AEV119,AEV119,722.03369531,108.29924250,722.03369530000,108.29924250300
AEV120,AEV120,4031.86439092,268.72351941,4031.86439091000,268.72351941100
AEV122,AEV122,1209.92548286,179.13558815,1209.92548287000,179.13558814600
AEV124,AEV124,832.02682984,115.49184166,832.02682985500,115.49184166000
AEV125,AEV125,1839.59380254,217.96324756,1839.59380256000,217.96324756300
AEV126,AEV126,1582.20325165,164.25597553,1582.20325165000,164.25597553400
AEV127,AEV127,637.41921395,186.38283638,637.41921395000,186.38283638100
AEV128,AEV128,386.38844926,79.33872744,386.38844923500,79.33872743630
AEV129,AEV129,1846.18764752,206.77563252,1846.18764751000,206.77563251600
AEV130,AEV130,327.76100817,91.80044459,327.76100816500,91.80044459130
AEV131,AEV131,288.22860395,75.21073593,288.22860394000,75.21073592900
AEV132,AEV132,11241.16518358,475.46059620,11241.16518360000,475.46059620600
